"block","trt","water","growth","N","surv"
1,"N",1,0.186861519487873,11,9
2,"N",1,1.88844310713085,5,5
3,"N",1,-1.74225079191202,10,1
4,"N",1,0.806566419500717,7,5
5,"N",1,0.527683562447029,7,6
1,"C",1,2.40891751761298,14,10
2,"C",1,1.46791945901217,9,5
3,"C",1,-3.56703090300662,10,0
4,"C",1,-0.611935161437857,16,13
5,"C",1,-2.23450667751783,14,9
1,"N",4,2.41704420475092,3,2
2,"N",4,2.50875804687878,11,7
3,"N",4,-1.55191838925763,9,0
4,"N",4,-1.68392955742919,7,5
5,"N",4,-1.44827260113949,9,6
1,"C",4,0.73917714268885,8,6
2,"C",4,0.844659357501476,9,7
3,"C",4,-3.13786666700965,10,1
4,"C",4,-1.7121771787935,11,8
5,"C",4,-1.37600112459546,12,12
1,"N",7,1.25109527285404,17,13
2,"N",7,3.48709621734421,8,7
3,"N",7,-2.37430055455255,14,2
4,"N",7,-1.60959939986482,11,9
5,"N",7,-0.726471324214329,9,6
1,"C",7,3.46391921729299,9,6
2,"C",7,0.525411246742801,9,6
3,"C",7,-1.6324945610596,11,1
4,"C",7,-2.46621380746844,11,5
5,"C",7,-2.06059040553366,9,7
1,"N",10,2.71579405006245,13,9
2,"N",10,2.43426983645453,7,6
3,"N",10,-0.858193330495695,7,1
4,"N",10,0.465591811144496,7,6
5,"N",10,-0.0357521435603568,5,3
1,"C",10,1.00499344762095,10,7
2,"C",10,2.23350194817901,11,6
3,"C",10,-2.74706470503763,11,1
4,"C",10,-0.478747674357745,9,5
5,"C",10,-2.49821384331192,10,7
1,"N",13,2.69739610254737,6,6
2,"N",13,1.06253760687803,15,10
3,"N",13,-2.72289991174534,10,0
4,"N",13,-0.944223268752873,9,6
5,"N",13,-1.61271647064783,9,3
1,"C",13,0.489398275731574,8,5
2,"C",13,0.458781320955408,6,3
3,"C",13,-1.69759089472532,15,4
4,"C",13,-1.04449430754871,12,9
5,"C",13,-1.59326562963734,8,6
1,"N",16,1.85948888199233,13,8
2,"N",16,1.76558995443211,9,8
3,"N",16,0.99227323675557,7,1
4,"N",16,-0.406149405633582,8,5
5,"N",16,0.169646759018987,15,14
1,"C",16,2.52641222405862,8,4
2,"C",16,2.4894454598556,11,8
3,"C",16,-2.8540819727377,5,1
4,"C",16,1.43605533715759,6,3
5,"C",16,-0.470979737543661,8,6
1,"N",19,3.31477161118964,8,8
2,"N",19,1.92762637361538,13,12
3,"N",19,-0.714570383528499,7,0
4,"N",19,0.16061919514917,9,7
5,"N",19,1.37273823782049,14,10
1,"C",19,1.30291625210192,15,12
2,"C",19,3.48055395730686,3,3
3,"C",19,-1.70200081856063,11,1
4,"C",19,-0.289159574174926,10,9
5,"C",19,1.49441512653796,9,7
